SK_ID_CURR,TARGET
100001,0.06
100005,0.08
100013,0.03
100028,0.0
100038,0.11
100042,0.06
100057,0.01
100065,0.06
100066,0.06
100067,0.13
100074,0.08
100090,0.05
100091,0.05
100092,0.13
100106,0.05
100107,0.17
100109,0.06
100117,0.08
100128,0.11
100141,0.12
100150,0.01
100168,0.05
100169,0.06
100170,0.04
100171,0.06
100172,0.14
100184,0.08
100187,0.14
100212,0.04
100222,0.03
100223,0.02
100232,0.02
100241,0.21
100245,0.08
100253,0.01
100256,0.13
100271,0.09
100278,0.24
100280,0.07
100306,0.09
100311,0.1
100312,0.11
100330,0.14
100331,0.09
100352,0.11
100358,0.02
100367,0.09
100382,0.17
100384,0.07
100385,0.14
100386,0.02
100399,0.05
100404,0.16
100416,0.01
100422,0.13
100426,0.02
100438,0.04
100444,0.12
100445,0.09
100446,0.12
100447,0.04
100450,0.07
100466,0.08
100483,0.03
100484,0.07
100494,0.14
100510,0.11
100512,0.06
100517,0.06
100548,0.03
100551,0.01
100552,0.15
100553,0.07
100561,0.16
100568,0.27
100569,0.04
100591,0.1
100592,0.0
100602,0.09
100607,0.06
100613,0.01
100617,0.17
100618,0.14
100622,0.15
100625,0.15
100677,0.18
100699,0.06
100702,0.39
100711,0.11
100729,0.12
100740,0.11
100744,0.13
100745,0.09
100747,0.16
100751,0.38
100752,0.12
100753,0.34
100754,0.11
100760,0.1
100762,0.06
100763,0.17
100765,0.04
100770,0.07
100772,0.02
100777,0.02
100791,0.04
100792,0.01
100797,0.01
100823,0.07
100826,0.08
100830,0.03
100836,0.21
100872,0.16
100910,0.05
100913,0.18
100918,0.13
100931,0.04
100952,0.03
100953,0.11
100965,0.22
100970,0.01
100982,0.14
100983,0.28
100984,0.06
100987,0.04
100997,0.03
100998,0.14
101002,0.12
101005,0.21
101008,0.17
101020,0.04
101021,0.03
101024,0.19
101025,0.15
101026,0.06
101031,0.02
101041,0.03
101051,0.02
101055,0.17
101056,0.35
101057,0.06
101064,0.03
101079,0.11
101087,0.06
101090,0.06
101092,0.11
101097,0.09
101099,0.05
101107,0.15
101118,0.02
101125,0.1
101126,0.02
101128,0.05
101136,0.16
101140,0.15
101149,0.07
101160,0.06
101169,0.29
101181,0.05
101186,0.02
101190,0.13
101193,0.07
101194,0.19
101198,0.14
101200,0.06
101204,0.05
101211,0.06
101213,0.11
